Fastighet,Populärnamn
10664 Borret (Resurscentrum),Borret (Resurscentrum)
10701 Samlingssal Långås,Långås Samlingssal
10808 0,Hästhagsudden 110
10811 0,Smedjeholm 320
10812 Sanddynevägen 95,Sanddynevägen 95
10815 0,Hästhagsudden 103
10816 Hästhagsudden 106 (Rönnborg),Hästhagsudden 106
10820 Hästhagsudden 102 (Herta Berggren),Hästhagsudden 102
10851 Ohlsgården,Ohlsgården Långaveka 4:1
10852 0,Motor 13 - Falkenbergs kommun
10853 0,Fbg Seafood
10856 0,Gjuteriet 1 Falkenbergs kommun
10857 Knavagård,Knavagård
10858 0, 
10860 0,Andreasgården
10861 Rasmusgården,Rasmusgården
10863 0, 
"10910 Hertingskolan, Paviljong kök och matsal",Hertingskolans kök och matsal
10915 Vinbergsskolan extern paviljong,Vinbergsskolans paviljong
10916 Fajansskolans paviljong,Fajansskolans paviljong
10918 Hjortsbergskolan Paviljong,Hjortsbergsskolan Paviljong
10920 Vinbergsskolan extern paviljong,Vinbergsskolans paviljong
10950 Violens förskola,Violens Förskola
10952 Stafsinge förskolepaviljong,Stafsinge förskolepaviljong
10953 Kristineslätts förskolepaviljong,Kristineslätt förskolepaviljong
10958 Eldstadens förskolepaviljong,Eldstadens förskolepaviljong
BERGUVSVÄGEN 7,Gruppbostad Berguvsvägen 7
BERGUVSVÄGEN 9,Berguvens äldreboende
DRIVBÄNKEN,Möllegatan garage
"FLORAGATAN 1, 3, 5",Kvarteret Trädgården
FURUGÅRDEN,Furugården
FURUGÅRDEN,Furugården kök
HOLGERSGATAN 5 A,Gruppbostad Holgersgatan 5
IGELDAMMSVÄGEN 1,Gymnasieskola Hus 8
IGELDAMSVÄGEN 1,Parkeringsgarage
KLOCKAREGATAN 27,Hållbarhetshuset
KLOCKAREGATAN 27,Serviceförvaltningen Klockaregatan
KVARNVÄGEN 17,Mötesplats Morup
LJUNGHOLMSVÄGEN 26,Hjortsbergs äldreboende
LJUNGHOLMSVÄGEN 28 A,Serviceboende Ljungholmsvägen
LJUNGHOLMSVÄGEN 28-30,Mötesplats Hjortsberg
LJUNGHOLMSVÄGEN 30 B,Gruppbostad Ljungholmsvägen 30
MARKNADSVÄGEN 3 A,Marknadsvägen 3
MÖLLEGATAN 11 A,Hemtjänst Centrum
MÖLLEGATAN 11A,Vision Mölle
NYHEMS PLAN 1,Falkhallen
ORMVRÅKSVÄGEN 12,Ormvråksvägen 12
PORSEVÄGEN 2,Gruppbostad Porsevägen
RINGVÄGEN 13 B-C,Trädgårdens dagverksamhet
SOLHAGAVÄGEN 30,Solhaga äldreboende
STAFSINGEVÄGEN 60-80,Gruppbostad Stafsingevägen
STENFALKSVÄGEN 33,Stenfalken Ung Fbg
TURBINGRÄND 10,Turbingränd hemtjänst
TURBINGRÄND 11,Turbingränd Funktionsstöd
TURBINGRÄND 12,Hertings gårds förskola
UTMARKSVÄGEN 9 E,Gullvivans öppna förskola
VARBERGSVÄGEN 3 C,Ullared coworking
ÄTRANHEMMET,Ätranhemmet
